"John Davis","John Davis","Rambler","There was once a statement made about legendary rock band Superdrag that says ""If you don't like Superdrag, you don't like rock'n'roll"". Well John Davis is the creative force behind Superdrag. The main songwriter and voice of the band is back with his first ever solo record release. After over a decade of rock debauchery Davis cleaned up his act and found his way, and wrote a record of introspective and self help songs in the process. It's hard to deny the influence Davis has had on the modern rock landscape but one thing is true, if this record is just a taste of what Davis has in tow, we will still be talking about his skills as a musician for many decades to come.","","","4.3.2.7"
"Eyeball Skeleton","#1","My Pal God","What would happen if you combined the riffs and aesthetic of the Ramones with enough lo-fi magic and adolescent whimsy to make the Shaggs blush? Why, you'd get Mayo Elementary Schools most popular band, of course! Maryland's Eyeball Skeleton is eight-year old JJ Brown, ten-year old Charlie Brown and their Dad. The band met at a hospital in the mid-1990s. Eyeball Skeleton's debut album ""#1"" collects all four of the band's hit singles (""Eyeball Skeleton"", ""Flat Top Vampire"", ""The Bouncing Apes"" and ""The Smoking Turtle"") previously available as self-released CD-Rs. Says Dad: ""The record documents an era in the lives of my sons. They love cartoons, art, books, animals and spooky stuff. They also have a great respect for the absurd, as do I. The main topic is fun and having it."" The end result is a timeless album of infectious pop music sure to bring a smile to your face.","","","1.3.4.6.9"
"Bunky","Born To Be A Motorcycle","Asthmatic Kitty","With sweet acoustic duets that explode into big fuzzed-out sound and cheerful melodies that get thrashed by spazzy blasts of distortion and splattered with keys, horns, and other assorted unpredictable noises, Bunky cover acres of musical territory. Such a broad spectrum could be a lot to swallow whole, but “Born to be a Motorcycle” playfully flows together with expert song craft. Bunky is Emily Joyce and Rafter Roberts with a cast of San Diego’s finest, including members of Black Heart Procession, Pinback, Rocket From the Crypt, and label-mates Castanets. As a renowned music engineer, Rafter has worked with all of the above and many more, most recently mixing the upcoming Fiery Furnaces album. This eclectic collection of weird pop bliss blends punk, art-pop, and ballads with chugging horns, absurdist humor and bulls-eye production – Deerhoof and Flaming Lips fans should delight.","","","1.2.3.4.6"
"Tarwater","The Needle Was Traveling","Morr Music","After leaving Kitty-Yo, Ronald Lippok and Bernd Jestram (aka Tarwater) have found a new artistic home in Morr Music for their fifth album “The Needle Was Traveling”. It shows the duo that in 1996 sprang from East Berlin underground bands like Rosa Extra and Ornament & Verbrechen at the height of their artistic abilities and is widely considered to be their masterpiece. There is a new tone to their music now, breathing a narrative quality into the songs. Carried by a warm and softly insisting pulse, they glide from one chapter to the next while exploring bewitched yet strangely familiar landscapes. What used to be tracks is turning more and more into songs-- for the first time, the band didn‘t develop their music by first layering keyboard sounds. They rather worked on the interaction of “traditional” instruments like bass, drums and guitar, making it their most human record yet","","","1.2.3.5.6"
"Dirty Projectors, The","The Getty Address","Western Vinyl","""The Getty Address"" is an album-length narrative inspired by Aztec mythology, the Eagles, and the 9/11 aftermath. It is a sprawling, layered glitch opera about Don Henley, leader of the aforementioned country/soft-rock group, and it was recorded over the course of almost two years, in three different states, with more than twenty-five people. Dave Longstreth, the principal Dirty Projector, wrote and recorded arrangements for wind septet, women’s choir, and cello octet, digitally deconstructed them, and then sang over the reconstituted parts in order to make these songs. Many of he album's often-gibberish lyrics stem from Longstreth’s first album, ""The Graceful Fallen Mango"", and the Eagles’ ""Greatest Hits Volume I"". The result is a captivating American song cycle that recreates the marriage of African and European music in their pure, unbastardized forms. ","","","1.2.5.9.10"
"Bearsuit","Cat Spectacular","Microindie","The charmingly pop (and very British) Bearsuit are a stop-start boy-girl twee-rock cutie-killer six-piece whose repertoire contains everything from cinematic waltzes to catchy electro-disco, lush shoegaze to hard punk screaming riot grrl noise. The band is like a mix of Belle & Sebastian, Huggy Bear, and Sonic Youth, melding screamy art punk with electronic twists and turns. Live, they wear not only name-appropriate bear suits, but also blood-soaked prom dresses, ""nurse of death"" outfits, and a lot more. The main attraction is the music, though: keeping one foot firmly rooted in the classic traditions of English twee music, Bearsuit also ventures into a wide variety of other styles, with success across the board. Fans of Bis, Television Personalities, and Architecture in Helsinki take note! ","","","2.3.6.7.9"
"Burmese","Men","Load","Recorded by Weasel Walter, this blackened-to-the-core slab manages to fuse the bleak Whitehouse (the band not the building) world vision to an underwater plastic explosive dolphin attack on all that is right and just with family values. The sounds here tend to generate comparisons to mud pilots like Swans and Eyehategod except that Burmese use two drums AND two basses. Previous records for Planaria and tUMULt have sketched out a similar murky vision, but this record raises fidelity to a notch nearer to the seconds right before the hammer falls on any given weekend's convenience store heist - not depressing musically, just verrry heavy. Features a member of the current Flying Luttenbachers and represents a true turning point for Burmese as they cross over fully from spastic rock to straight-up confrontational noise terror. Has played with Don Caballero, Lightning Bolt, and Erase Errata.","","","2.3.4"
"Emperor X","Central hug / Friendarmy / Fractaldunes","Discos Mariscos","Chad Matheny, aka Emperor X, expands on last year’s widely applauded “Tectonic Membrane / Thin Strip on an Edgeless Platform” with the just as awkwardly titled “Central Hug / Friendarmy / Fractaldunes”. Using off-kilter pop elements reminiscent of old Modest Mouse and Casiotone for the Painfully Alone, Emperor X merges the plinking scrapes of a classic lo-fi crooner with the odd beauty of thrift store electronics and friendly southern weirdness. Dipping its hand in folk, experimental rock, electronica, and pop, this album is a joyous romp through a bewildering labyrinth of love letters and eardrum battering soundquakes. His mad delirium of subjects creates a captivating lyrical backdrop for an album steeped as much in inspired storytelling as it is in playful sound experimentation. Matheny can make us cheer, cringe or cry, but he couldn’t bore us if he tried.","","","2.3.4.7.10"
"A Northern Chorus","Bitter Hands Resign","Sonic Unyon","“As sure as bitter hands resign, the past will be seen in new light.” The 3rd effort from ANC is a grand achievment in emotional intensity!. RIYL: Elbow, Frames, GYBE, Slowdive, Stars.","","","2.6.3"
"Adult.","D.U.M.E.","Thrill jockey","Spartan electronics, angular bass and desperate vocals combine to create an atmosphere of technological apocalypse on this latest EP from Detroit’s ADULT.","","","1.3.6.4."
"Zincs, The","Dimmer","Thrill Jockey","Vibrato-tinged, baritone vocals float effortlessly over spanish style guitars and melodic keyboard bleeps and drones on this intimate, brooding pop record. RIYL: Smog & Scott Walker","","","7.2.8.1.4.10"
"Dinosaur Jr.","Dinosaur (re-issue)","Merge","***THIS IS A NEWLY REMASTERED RE-ISSUE***Originally released in 1985 before the Jr. was added to the name, Dinosaur was the first shot across the bow from this legendary alternative rock pioneer. A noisy guitar driven affair, Dinosaur was a precursor to much of what would become popular ""alternative"" music in the 90's. With contemporaries like the Pixies, Dinosaur Jr. influenced a whole slew of guitar rock bands like Nirvana, Polvo, My Bloody Valentine and Swervedriver.","","","7.4.5.2.3.8."
"Heavy Trash","Heavy Trash","Yep Roc","See back...","","","5.1.2.4.13"
"Fitzgerald","Raised By Wolves","2024 Records","","","","1.2.3.4"
"Fela Ransome Kuti & The Africa 70","Confusion / Gentleman","MCA","Fela Kuti is without a doubt one of the most important figures in the globalization of modern music in the 20th century.  The Nigerian born artist gained his reputation by combining jazz with traditional African music to create Afro-beat, a fierce almost communal blend of danceable African rhythms, complex arrangements and technically proficient instrumental solos, but went on to legend status with his unparalleled controversial personality and sociopolitical voice.  Rereleased by MCA in 2000, C/G paired two of Fela's most prolific albums recorded with his band, Africa 70, at their creative high.  1975's Confusion is one 25-minute song that begins with spacey, free jazz interplay between Fela on organ and drummer extraordinaire Tony Allen before exploding into an Afro-funk epic with three dialects explaining the general post-colonial confusion of Nigeria.  1973's Gentleman featured Fela's matured musicianship and the first fantastic production from the Africa 70.  The title track is a stab at his fellow Africans who would wear thick traditional clothing in the African heat, while Fela wore little to no clothing, followed by two equally enjoyable numbers, one a loose jazzy feel and the other a hot call-and-response percussion-oriented piece. ","","","1.3"
"Gogol Bordello","East infection","Rubric","Equal parts RAMONES-esque buzzsaw guitars, gypsy style around the campfire singalongs, AGAINST ME-esque heartfelt punk idealism andan overall eastern European aesthetic floating throughout the EP makes this one of the most interesting and refreshing things that has crossed my ears in the past few months.","","","1.6.3.5."
"National, The","Alligator","Beggars Banquet","Review on back.Interpol fans will like the voice, but the music is pretty different (than the Interpol/joy division clones) and way cool.","","","10.7.9.4.6.2.1."
"Supersystem","Always Never Again","Touch & Go","Supersystem (formerly El Guapo on Dischord Records) storms into the Touch and Go stable in 2005 with Always Never Again, its first full-length in two years. With the help of a new drummer Josh Blair, the man with the blurry arms behind the Ipecac duo Orthrelm, the NY/DC quartet has been in the lab with a pen and a pad perfecting its unique fusion of Ethiopiques worldbeat, post-Kraftwerk synth pop, and brash Pixies attitude. Virtuoso guitarist Rafael Cohen and keyboardist Pete Cafarella provide the production know how; the man known only as Destroyer brings the onstage rants and thundering bass to compliment Blair's crack rhythms. Voila! It's rock, it's pop, it's dance...it's whatever you want it to be. RIYL: KRAFTWERK, Q AND NOT U, !!! or some weird combination of all three.","","","9.4.6.3.2."
"Stands, The","All Years Leaving","Echo","Rootsy jangle from UK youngsters on their debut cd.  Sounds a little like the Byrds/Hollies/Everly Bros./Rain Parade and a lot like the Coral in the careful arrangements and restrained playing.  A little too perfectionist at times, but worth a spin.  Noel Gallagher (Oasis) does guitar solo on #11.","","","4.12.9.5.3.7"
"Pit Er Pat / Icy Demons","Split 7”","Polyvinyl Records","Chicago's Pit er Pat merge multiple genres incorporating dub, dance, pop, punk, soul, psychedelic, electronic and folk creating a unique and distinct pattern that is all their own. They have a new album out on Thrill Jockey.  Icy Demons perform highly sophisticated pop songs with beautifully pure falsetto vocals and exquisite orchestrations featuring the rich warm tones of a bowed upright bass, along with chord organs and woodwinds. Icy Demons are from three cities: Chicago, Philadelphia and Athens. They have an album out on Cloud Recordings. Track 1: Big Pants (Pit Er Pat)Track 2: Jump Off (Icy Demons)","","","1.2"
"Screeching Weasel","My Brain Hurts (re-master)","Asian Man Records","**THIS IS A REMASTERED REISSUE***Considered by many to be Screeching Weasel’s most solid effort, and I would find it hard to argue that myself. The second of the classic Weasel discs that Asian Man is reissuing in 2005 was the first album that had a singular vision, one combining the buzzsaw attack of the RAMONES with poppy melodies and a love of the lesser known 80’s new-wave bands that would later become the SCREECHING WEASEL sound that would be copied infinitely throughout the mid/late 90’s. The drummer now plays in BEULAH. Jughead plays in EVEN IN BLACKOUTS and is a neo-futurist. The other danny on guitar sings for the METHADONES.","","","8.11.7.5.3.4.10"
"Thunderbirds are Now!","Justamustache","French kiss","Hand clapping, keyboard friendly, electro samplin’ rock and roll from Detroit. With the energy and intensity of early PRETTY GIRLS MAKE GRAVES and the punk sass of early Q AND NOT U. this bright young band is sure to take over the world. (Mike G would just like to add holy fucking shit yeah. This record is insanely great.)","","","1.4.9.10.6.5."
"alaska!","Rescue Through Tomahawk","Altitude Records","alaska! comes with a pedigree that most bands would kill for. Singer/guitarist Imaad Wasif was a member of fondly remembered lo-fi experimentalists lowercase, bassist Russ Pollard toured with Lou Barlow as a member of Sebadoh, and drummer Lesley Ishino was in Cali-punk mainstays the Red Aunts. They come together to create a passionate and blend of twangy acoustic songcraft and swaggering barroom hard rock. While their moniker suggests the frozen north, alaska!'s sound is anything but icy. There is a gritty texture to Wasif's downtrodden lyrics and the band's performance, which is tight and precise, but also ragged in a way that helps communicate the spiritual weariness that comes across in Wasif's words, as on the standout track ""Through the Years,"" where the singer's near moans are punctuated by an instrumental break that begins with a crescendo reminiscent of slowcore luminaries like Codeine before settling into a sinister, smoldering groove.","","","2.5.6.9.10"
"Queens of the Stone Age","Lullabies To Paralyze","Interscope","QOTSA has always had a revolving door of members.  One thing had always remained constant though:  Josh Homme and Nick Oliveri were equal partners in crime.  In his first outing post-kicking Nick out of the band. (for partying too hard; the same thing happened to Nick in the Dwarves years ago). Homme proves that losing just another member does not have a huge effect on the band.  Their stoner-rock guitar chug and oft-catchy songwriting is still intact.  As always, there are some guest apperences to liven things up.  Mark Lannegan (1,13) makes a few apperences to mix up the vocals.  Billy Gibbons from ZZ Top even plays guitar on track 5.  Shirly Manson  of Garbage and Brody Dalle from the Distillers have very quiet backing vocals on 13.  I was very worried about the loss of Nick and still miss his unmatched scream, but this 4th LP from QOTSA shows that they can do it without him. <DO NOT PLAY TRACK 7 the major radio single.> ","","","8.13.4.5.14.9.3"
"Et Sans","Par Nousss Touss Les Trues De Vos Cranes!","Alien8","Breaking away from the notion that all Montreal bands that include members of the Alien8 family or the Constellation/Godspeed universe all sound the same. On their first album for Alien8 (their first record was on Chicago’s own Locust) Et Sans, which features members of Godspeed, Le Fly Pan Am, Shalbi Effect, Set Fire To Flames, Silver Mount Zion, conjures up the spirit of Suicide with tons of no wavey sounding synths to construct some very long and repetitive (albeit engaging) music.  To give you an even greater idea of what they sound like, they have been gigging with Black Dice and Wolf Eyes as of late.  This is great for those late night shifts.  RIYL- Oneida’s long experimental jams, any of the above mentioned bands. ","","","4,2,3"
"Fantomas","Suspended Animation","Ipecac","If you have ever heard Faith No More’s “Zombie Eaters” from their platinum selling Real Thing, you know that Mike Patton has a strange take on childhood.  In the song, Patton takes on the perspective of an infant who is describing just how cute and innocent he is and just how much he loves to torture his mother by making a mess and screaming all the time.  On “Suspended Animation”, Fantomas’ fourth album, Patton (the ringleader of this supergroup) again takes another stab at childhood, this time constructing a children’s album.  Many songs start with soft atmospheric portions with Patton’s trademark coo’s and crooning.  They then build up to furious temper tantrums full of King Buzzo’s (of Melvins fame) stabs of guitar, Trevor Dunn’s (Mr. Bungle) monstrous bass, and Dave Lombardo’s (Slayer) furious drumming.  There is also a lot of experimentation with circuit-bending (meaning they put to use many hacked electronic children’s toys to get some fun sounds).  While still not as listenable as their brilliant “Director’s Cut” this album is definitely many steps ahead of last years disappointing “Derilium Cordia.”  Further escalating the weirdness, each song corresponds to a day in April.  Track 1 should be referred to as 4-1-05, track to 4-2-05 and so on. ","","","2,3,6,12,13,14,20,23"
"Scott H Biram","The Dirty Old One Man Band","Bloodshot","One man show. 4th album, first for Bloodshot. Deranged, wild, punked up country blues. Sort of like R.L. Burnside but with more of a tongue-in-cheek redneck white trash kinda thing. Tom Waits meets White Zombie with a side dish of Legendary Shack Shakers? Some covers of traditional blues songs and originals too.  Biram recently survived a near-fatal car accident... but ""wreck my car"" isn't about his personal experience. Track #8 is a rousing version of ""Muleskinner Blues"" with his crazed version of yodeling. Track #10 most traditional of the bunch with a Mike Nesmith kind of vocal treatment. Tracks 12, 13, 14 are live. ","","","1, 3, 8, 9, 2, 4, 10"
"20-20’s","20-20’s","Astralwerks","The 22-20’s are named after blues legend Skip James’s “22-20 Blues”.   This record is by no means a blues/ garage revival record, but a pleasant blending of a blues aesthetic with pretty straight ahead pop music.  All the organ parts, steal guitar, and distortion pedals that are generally found on a delta[ish] blues record by twenty something hipsters from England are in place, but they are recorded with high production values and good pop hooks. These guys were apparently at the center of a label bidding war in England just 4 months after forming. ","","","1,3,10"
"Earth","Legacy of Dissolutioner","No Quarter","6 artist chosen by Earth front man Dylan Carlson rework their favorite Earth tracks. The record is as much an insight into the six artist that were asked to do the remixes as it is into Earth.  Track one has moments of digital glitches, backwards tape, and upbeat chirps over the top of sludged out drones; it didn’t sound like it was a stretch for Mogwai, but not exactly what you would find on one of their records.  Track two is cut up with lots of disjointed moans and drones stopping and starting on top of each other.  It has moments of calm and meditativeness, but for the most part just made me feel anxious and paranoid. Jim O’Rourke sweetened Earths sound for the first 6 minutes of his track, giving it an almost ‘Music for Airports’ sound.  He makes it sludgier and more frantic (though still fairly mellow) for most of the rest of the song.   On track 4 Autchre keeps things surprisingly straight a head drudge rock with drums and a melody line (this could probably fit on a metal inspired tribute to Pink Floyds ‘The Wall’).  Track 5 reminded me of a cross between Metal Machine Music and Air’s Talkie Walkie record.  Track 6 remixed by Sunn O))) is pretty much what you would expect from Sunn O))) – evil drone music with brief moments of hope.  Overall if like “difficult” listening and atmospheric drone/noise pieces you will dig this, if you don’t nothing on this record will likely change your mind and you best stay away. ","","","5, 2, 1, 3, 4, 6 "
"Beck","Guero","Interscope","Everyone wave goodbye to sad Beck and welcome back happy Beck. On this his 8th album, Beck reunites with the Dust Brothers (who he collaborated with on Odelay) who provide the great beats and cuts present in every song. But don’t think that Guero is just a remake of Odelay – it’s definitely not. Beck has matured in the nine years since Odelay – think of this album as having the feel of Odelay but with the lyrics and maturity of Sea Change. Death is a huge theme throughout the record, but done in a way only Beck could. “Girl” has the melody and sound of a great summer - drive around town windows down – song, yet its about a serial killer fixating on his victim. Every song on the album has a different sound – thanks to the genre spanning samples from the Dust Brothers – and Jack White guests on “Go It Alone.”  ***Avoid track 1, mainstream single***","","","Upbeat: 2,3,5,7,9,12 Laid Back: 4,6,8,10"
"Gang Gang Dance","God’s Money","Social Registry","""Gang Gang Dance share a practice space with Animal Collective and Black Dice,"" Jim said to Mom.  ""That's nice.  It also sounds like they'd share rooms with Dead Can Dance and the Butthole Surfers, and maybe some of those kraut fellows too,"" Mom said.  ""Whatever Mom, this is from Brooklyn.  Duh...The urban rhythms and that stuff they call atmosphere?""  Jim was pissed.  Mom then said, ""There's more than that, Jim.  These rhythms can be heard all over the world.  And that atmosphere comes from the thoughtful arrangement of synthesizers, guitars, and vocals--with effects on everything--no matter what your excuse of a father says.""  Mom was frustrated.  She spoke again, ""Here.  This headline in Time Out New York explains it better:  'Gang Gang Dance Seems to Have Found the G-Spot of the Universe.'"" ","","","2,3,6,5,8"
"Monade","A Few Steps More","Too Pure","The second album from Monade, Laetitia Sadier's extracirricular time away from her longtime band Stereolab is certainly more sparse, more stripped in sound and texture, but let's face it:  unless Sadier is fronting a death metal band, all of her projects are going to sound vaguely Stereolabby.  But who cares?  ""A Few Steps More"" has the same romantic cinematic wonder and beauty her other band does.  The perfect handbook for the psychologically nomadic, the incurably romantic, the terminally melancholy all plagued by the same case of wanderlust. ","","","1,2,8,9,5"
"Echo-Static","Empty Places","Crustacean Records","Trio from Madison Wisconsin. Distorted guitars with catchy riffs. Gutsy punky female vocals with a nice range. Lots of changes in the songs, both in the instrumentation and in the vocal stylings. Densely layered. Band influences include: Sonic Youth and The Mermen.  (track #5 , one of the other members sings, it's a more hard-edged cut.) track #9 is a very long instrumental.  re: the title ""Empty Places"" (bassist/vocalist) Sass says: ""We're not a political band, but we felt that in a lot of ways our country has become empty, lacking in both culture and integrity.""  RIYL: Sonic Youth, Fugazi, Spacemen 3  ","","","2, 1, 4, 3, 5, 6, 8, 7, "
"Tiger Beat Wolf","Tiger Beat Wolf","Hello Sir Records","Axe-wielding  angular rock with old school rock asthetic and math rock training from Athens.  RIYL: Fugazi, MC5, Hot Snakes","","","8,10,3"
"South San Gabriel","The Carlton Chronicles: Not Until the Operation’s Through","Misra","RIYL: Sufjan Stevens, Iron and Wine, Lambchop, Wilco","","","1,4,5,9"
"Magnolia Electric Co.","What Comes After The Blues","Secretly Canadian","RIYL: Songs: Ohia, Wilco, Neil Young","","","3,8"
"Okkervil River","Black Sheep Boy","Jagjaguwar","RIYL: Will Oldham, Pavement, REM, Bright Eyes","","","2,4,5"
"Great Lakes Myth Society","Great Lakes Myth Society","Stop, Pop, and Roll","RIYL: CVB, Decemberists, Nick Cave","","","3,4,14,7"
"Damage Manual, The","Limited Edition","Invisible","Martin Atkins (PiL, Pigface, Killing Joke), Chris Connelly (Ministry, Revolting Cocks), and Steven Seibold (Hate Dept.) carry on under the post-punk supergroup banner with Taut, new wave post punk flexing songs, giving a greater sense of sonic/lyrical menace than current practitioners in the field.  RIYL: PiL, Ministry, with AC/DC crunch.","","","1,2,4,6"
"Prefuse73","Surrounded By Silence","Warp","Scott Herren is back with a new Prefuse73 album.  This album brings together the wide-ranging collaborations and connections Scott had made with likeminded musicians over the last couple of years wilst recording and touring as Prefuse and Savath and Savalas, and is the pinnacle so far of his talent and skills as a producer and orchestrator.  Contributors include Gostface and El-P, Aesop rock, Masta killa + GZA, Beans, Broadcast, Cafe Tacuba, Tyondai Braxton of Battles, The books, and Kazu of Blonde Redhead.","","","4,5,7,10,11,16,19,21"
"Bloc-Party","Silent Alarm","Vice","The hype machine has been behind Bloc Party since before the release of their Dim Mak EP of last year, and everything pointed me to wanting to not like this british band. I can't fight it though, the songs are extremely catchy. Definitely a result of HOT HOT HEAT's major label success and part of the current crop of bands riding the wave (including as well KAISER CHIEFS, THE BRAVERY etc.) Bloc Party are one of the few bands that I think are going to be able to survive and ride through it. While this is a great album, it definitely shows they have more left in them. Along with the aformentioned stylistic leanings there's a bit of Depeche Mode thrown in (check track 13 if you don't believe me and by default, some definite FAINT-isms on track 6) and enough diversity from song to song to keep me interested through the whole thing. This version includes 3 bonus remixes that are only available on the Japanese release of the album. 14. So Here We Are (Four Tet Remix) 15. Plans (Mogwai Remix) 16. Pioneers (M83 Remix) ","","","11.6.3.2.9.8.4.7."
"Hot Hot Heat","Elevators","Sire/WB","In no way did Hot Hot Heat create the genre of music that they play. The dancy, disco-esque rhythms and false british, snotty accents were common scene among college radio before they came around, but they can be creditted as being the first band that took this sound succesfully to the major labels, and as such can be responsible for the current influx of major label bands that sound almost just like this. While I know I am definitely getting a bit sick of the sound, it can't be argued that this is anything but HHH's finest work to date. They've kept the pop edge that found it's way into the Make Up The Breakdown album, turned up the alliterative wordplay and have pushed themselves to what I suspect their song writing limits are. As is the case with a lot of releases that have come in recently. If you were a fan before, this is going to make you even more so, but I doubt it's going to win over any new fans. ","","","8.9.10.2.5.11."
"Ben Folds Five","Whatever and Ever Amen","Epic","It seems there have been a whole slew of re-issues coming out recently. What separates this from the DINOSAUR JR., SCREECHING WEASEL and MOUNTAIN GOATS re-issues is the fact that this is a multi-platinum album as compared to those gems that disappeared quietly into the indie release abyss. Ben Folds Five always defied logic. Playing rock music wioth jazz trio instrumentation, and writing fairly cerebral songs that the lowest common denominator could listen to, enjoy and say, “Hey, I get that”. They also defied logic with their morally charged ballad, ‘Brick’ which cracked top 40 radio at a time when nu-metal was the rage. All of this doesn’t diminish the fact that this is a spectacular album from one of the best contemporary pop soong writers. Just stay away from Brick please. It’s a shame the best songs are profane. The re-issue contains 7 bonus tracks including a FLAMING LIPS (18) and BUGGLES (13) cover. (This is also just in time for the new Ben Folds solo album which will be here in a couple weeks)","","","9.18.13.6.7."
